# Time, S, I, R, V, D
2.200000000000000000e+01,5.344574340477900952e+07,6.822208379513835534e+05,1.024904990382666700e+07,2.563359267214223219e+05,2.200000000000000000e+01
2.300000000000000000e+01,5.301588792553785443e+07,6.740471727285168599e+05,1.067351648254633136e+07,2.631172095936175901e+05,2.300000000000000000e+01
2.400000000000000000e+01,5.253230692436236143e+07,6.659250075286452193e+05,1.115182001244385168e+07,2.698170278325446998e+05,2.400000000000000000e+01
2.500000000000000000e+01,5.203572983839353174e+07,6.578526070065782405e+05,1.164323181318973936e+07,2.764358707050553057e+05,2.500000000000000000e+01
2.600000000000000000e+01,5.150582841270899773e+07,6.498287580996742472e+05,1.216808035166033171e+07,2.829742387654960039e+05,2.600000000000000000e+01
2.700000000000000000e+01,5.108522717751515657e+07,6.418533596330751898e+05,1.258374027582824416e+07,2.894325935117530753e+05,2.700000000000000000e+01
2.800000000000000000e+01,5.076230730737368017e+07,6.339447812792541226e+05,1.290181085762208328e+07,2.958115268624771270e+05,2.800000000000000000e+01
2.900000000000000000e+01,5.037191971274165064e+07,6.261001146238306537e+05,1.328744278234263137e+07,3.021116951459255069e+05,2.900000000000000000e+01
3.000000000000000000e+01,4.993192308315461129e+07,6.183139979025473585e+05,1.372278149794880114e+07,3.083337104970148066e+05,3.000000000000000000e+01
3.100000000000000000e+01,4.944513202401810884e+07,6.105826156020681374e+05,1.420501507175843045e+07,3.144781443107060040e+05,3.100000000000000000e+01
3.200000000000000000e+01,4.891160659661415219e+07,6.029018539794388926e+05,1.473408649745678902e+07,3.205455259748162935e+05,3.200000000000000000e+01
3.300000000000000000e+01,4.837846456513392180e+07,5.952694203811499756e+05,1.526287934376124293e+07,3.265363353618456749e+05,3.300000000000000000e+01
3.400000000000000000e+01,4.800017174611128867e+07,5.876911445289046969e+05,1.563692095080969855e+07,3.324510792750607943e+05,3.400000000000000000e+01
3.500000000000000000e+01,4.773481560919505358e+07,5.801848406440044055e+05,1.589810475596680306e+07,3.382903970970680239e+05,3.500000000000000000e+01
3.600000000000000000e+01,4.740083788569360226e+07,5.727493557969006943e+05,1.622798874622292258e+07,3.440550061432766379e+05,3.600000000000000000e+01
3.700000000000000000e+01,4.695956234022614360e+07,5.653767181733584730e+05,1.666525578125272132e+07,3.497455801738729351e+05,3.700000000000000000e+01
3.800000000000000000e+01,4.647285632895378023e+07,5.580587819711866323e+05,1.714804547437619045e+07,3.553627073493999196e+05,3.800000000000000000e+01
3.900000000000000000e+01,4.604126882267150283e+07,5.507972787452983903e+05,1.757580602095562220e+07,3.609069388137577334e+05,3.900000000000000000e+01
4.000000000000000000e+01,4.567145305558976531e+07,5.435981478061361704e+05,1.794187707862922549e+07,3.663788589874039171e+05,4.000000000000000000e+01
4.100000000000000000e+01,4.541986505085732043e+07,5.364667178966965294e+05,1.818979600049180165e+07,3.717791153770427336e+05,4.100000000000000000e+01
4.200000000000000000e+01,4.523540875279673189e+07,5.294141184641907457e+05,1.837064621820686385e+07,3.771084552660721238e+05,4.200000000000000000e+01
4.300000000000000000e+01,4.494996122003294528e+07,5.224367176740425057e+05,1.865255276039933786e+07,3.823676509468006552e+05,4.300000000000000000e+01
4.400000000000000000e+01,4.452970258485686034e+07,5.155239901895207586e+05,1.906934462882091478e+07,3.875573980663444963e+05,4.400000000000000000e+01
4.500000000000000000e+01,4.402551126510912925e+07,5.086668116977400496e+05,1.957015132866865396e+07,3.926782972622251255e+05,4.500000000000000000e+01
4.600000000000000000e+01,4.349305913663018495e+07,5.018617828538809554e+05,2.009930328847319260e+07,3.977308960213711252e+05,4.600000000000000000e+01
4.700000000000000000e+01,4.300379699370324612e+07,4.951089454775461345e+05,2.058534865900224447e+07,4.027157009084820165e+05,4.700000000000000000e+01
4.800000000000000000e+01,4.268044963835961372e+07,4.884161958838174469e+05,2.090555362865312397e+07,4.076332685517235659e+05,4.800000000000000000e+01
4.900000000000000000e+01,4.245885001340909302e+07,4.817966196061981027e+05,2.112407083396499604e+07,4.124842665098525467e+05,4.900000000000000000e+01
5.000000000000000000e+01,4.220194622923328727e+07,4.752499541607053252e+05,2.137795094073761627e+07,4.172694379341837484e+05,5.000000000000000000e+01
5.100000000000000000e+01,4.188712472425006330e+07,4.687724828796283109e+05,2.168980982613618299e+07,4.219894833670665976e+05,5.100000000000000000e+01
5.200000000000000000e+01,4.148729958580465615e+07,4.623588784358765115e+05,2.208673737883712351e+07,4.266450784611687995e+05,5.200000000000000000e+01
5.300000000000000000e+01,4.101412952485085279e+07,4.560028685701358481e+05,2.255707992825824767e+07,4.312368391603743657e+05,5.300000000000000000e+01
5.400000000000000000e+01,4.054005831522643566e+07,4.497016631934688194e+05,2.302839540551127121e+07,4.357653080344194896e+05,5.400000000000000000e+01
5.500000000000000000e+01,4.022097897133467346e+07,4.434594726796360337e+05,2.334478544624790549e+07,4.402310548689006246e+05,5.500000000000000000e+01
5.600000000000000000e+01,3.999911908764278144e+07,4.372889962192967068e+05,2.356400844473786280e+07,4.446347357000542688e+05,5.600000000000000000e+01
5.700000000000000000e+01,3.972439360558761656e+07,4.311881349370412063e+05,2.383615014359969646e+07,4.489770579378398252e+05,5.700000000000000000e+01
5.800000000000000000e+01,3.940622872526544333e+07,4.251536947914242046e+05,2.415178616729801521e+07,4.532587063225770835e+05,5.800000000000000000e+01
